HAMILTON
13 - 26:107.354, 1(Clear)
13 - 27:107.311, 1(Clear)
13 - 28:108.885, 1(Clear)
13 - 29:108.62, 1(Clear)
13 - 30:108.172, 1(Clear)
13 - 31:112.066, 2(Clear)
13 - 32:126.765, 0(Clear)
13 - 33:106.558, 1(Clear)
13 - 34:107.65, 1(Clear)
13 - 35:105.97, 1(Clear)
13 - 36:105.507, 1(Clear)
13 - 37:105.779, 1(Clear)
13 - 38:105.801, 1(Clear)
13 - 39:105.857, 1(Clear)
13 - 40:105.698, 1(Clear)
13 - 41:105.81, 1(Clear)
13 - 42:105.844, 1(Clear)
13 - 43:105.858, 1(Clear)
13 - 44:105.944, 1(Clear)
13 - 45:105.741, 1(Clear)
13 - 46:105.914, 1(Clear)
13 - 47:108.085, 1(Clear)
13 - 48:106.008, 1(Clear)
13 - 49:106.352, 1(Clear)
13 - 50:106.119, 1(Clear)
13 - 51:106.899, 1(Clear)
13 - 52:107.757, 1(Clear)
13 - 54:108.249, 1(Clear)
13 - 55:107.242, 1(Clear)
ERICSSON
14 - 0:118.046, 1(Clear)
14 - 1:108.815, 1(Clear)
14 - 2:108.76, 1(Retire)
NASR
15 - 0:120.666, 1(Clear)
15 - 1:116.091, 2(Clear)
15 - 2:139.849, 0(Clear)
15 - 3:139.657, 1(Clear)
15 - 4:139.609, 1(Clear)
15 - 5:125.467, 1(Clear)
15 - 6:108.77, 1(Clear)
15 - 7:108.651, 1(Clear)
15 - 8:107.333, 1(Clear)
15 - 9:107.268, 1(Clear)
15 - 10:107.897, 1(Clear)
15 - 11:108.26, 1(Clear)
15 - 12:108.224, 1(Clear)
15 - 13:108.648, 1(Clear)
15 - 14:109.515, 1(Clear)
15 - 15:109.503, 1(Clear)
15 - 16:110.513, 1(Clear)
15 - 17:108.755, 1(Clear)
15 - 18:112.096, 1(Clear)
15 - 19:113.289, 2(Clear)
15 - 20:127, 0(Clear)
15 - 21:105.54, 1(Clear)
15 - 22:106.404, 1(Clear)
15 - 23:106.896, 1(Clear)
15 - 24:106.975, 1(Clear)
15 - 25:107.515, 1(Clear)
15 - 26:107.219, 1(Clear)
15 - 27:107.147, 1(Clear)
15 - 28:107.853, 1(Clear)
15 - 29:112.875, 2(Clear)
15 - 31:127.677, 0(Clear)
15 - 32:106.297, 1(Clear)
15 - 33:106.26, 1(Clear)
15 - 34:107.134, 1(Clear)
15 - 35:106.655, 1(Clear)
15 - 36:106.958, 1(Clear)
15 - 36:106.923, 1(Clear)
